score	winPercentage	nGames	pVal
1	0.539732	1271	0.002506249982
2	0.535799	1271	0.005779023326
3	0.527144	1271	0.028214652976
4	0.536585	1271	0.004918232852
5	0.548387	1271	0.000308003767
6	0.563336	1271	0.000003501346
7	0.564123	1271	0.000002683195
8	0.579072	1271	0.000000009480
9	0.581432	1271	0.000000003506
10	0.583006	1271	0.000000001779
11	0.597168	1271	0.000000000002
12	0.597954	1271	0.000000000001
13	0.612903	1271	0.000000000000
14	0.612903	1271	0.000000000000
15	0.621558	1271	0.000000000000
16	0.627852	1271	0.000000000000
17	0.625492	1271	0.000000000000
18	0.639654	1271	0.000000000000
19	0.638867	1271	0.000000000000
20	0.643588	1271	0.000000000000
21	0.659323	1271	0.000000000000
22	0.658537	1271	0.000000000000
23	0.663257	1271	0.000000000000
24	0.653816	1271	0.000000000000
25	0.661684	1271	0.000000000000
26	0.675846	1271	0.000000000000
27	0.671125	1271	0.000000000000
28	0.672699	1271	0.000000000000
29	0.691581	1271	0.000000000000
30	0.679780	1271	0.000000000000
31	0.687648	1271	0.000000000000
32	0.689221	1271	0.000000000000
33	0.686074	1271	0.000000000000
34	0.688434	1271	0.000000000000
35	0.680566	1271	0.000000000000
36	0.690008	1271	0.000000000000
37	0.686074	1271	0.000000000000
38	0.700236	1271	0.000000000000
39	0.697876	1271	0.000000000000
40	0.701023	1271	0.000000000000
41	0.704957	1271	0.000000000000
42	0.710464	1271	0.000000000000
43	0.715972	1271	0.000000000000
44	0.721479	1271	0.000000000000
45	0.719906	1271	0.000000000000
46	0.722266	1271	0.000000000000
47	0.726987	1271	0.000000000000
48	0.739575	1271	0.000000000000
49	0.739575	1271	0.000000000000
50	0.757671	1271	0.000000000000
51	0.762392	1271	0.000000000000
52	0.757671	1271	0.000000000000
53	0.754524	1271	0.000000000000
54	0.759245	1271	0.000000000000
55	0.768686	1271	0.000000000000
56	0.763965	1271	0.000000000000
57	0.767899	1271	0.000000000000
58	0.773407	1271	0.000000000000
59	0.769473	1271	0.000000000000
60	0.765539	1271	0.000000000000
61	0.771833	1271	0.000000000000
62	0.784422	1271	0.000000000000
63	0.789142	1271	0.000000000000
64	0.782848	1271	0.000000000000
65	0.782061	1271	0.000000000000
66	0.789929	1271	0.000000000000
67	0.781275	1271	0.000000000000
68	0.796223	1271	0.000000000000
69	0.801731	1271	0.000000000000
70	0.799213	1270	0.000000000000
71	0.809449	1270	0.000000000000
72	0.817823	1268	0.000000000000
73	0.828594	1266	0.000000000000
74	0.836105	1263	0.000000000000
75	0.842857	1260	0.000000000000
76	0.851115	1256	0.000000000000
77	0.857827	1252	0.000000000000
78	0.850040	1247	0.000000000000
79	0.857259	1233	0.000000000000
80	0.859706	1226	0.000000000000
81	0.870994	1217	0.000000000000
82	0.877704	1202	0.000000000000
83	0.890008	1191	0.000000000000
84	0.890598	1170	0.000000000000
85	0.890720	1153	0.000000000000
86	0.905142	1128	0.000000000000
87	0.897273	1100	0.000000000000
88	0.909006	1066	0.000000000000
89	0.913926	1034	0.000000000000
90	0.919759	997	0.000000000000
91	0.917270	967	0.000000000000
92	0.919181	928	0.000000000000
93	0.930180	888	0.000000000000
94	0.934426	854	0.000000000000
95	0.943325	794	0.000000000000
96	0.931452	744	0.000000000000
97	0.954155	698	0.000000000000
98	0.942006	638	0.000000000000
99	0.952941	595	0.000000000000
100	0.948812	547	0.000000000000
101	0.958416	505	0.000000000000
102	0.954148	458	0.000000000000
103	0.945755	424	0.000000000000
104	0.946015	389	0.000000000000
105	0.946479	355	0.000000000000
106	0.961538	312	0.000000000000
107	0.966418	268	0.000000000000
108	0.970085	234	0.000000000000
109	0.956938	209	0.000000000000
110	0.951872	187	0.000000000000
111	0.945122	164	0.000000000000
112	0.957746	142	0.000000000000
113	0.952756	127	0.000000000000
114	0.935780	109	0.000000000000
115	0.923913	92	0.000000000000
116	0.947368	76	0.000000000000
117	0.953846	65	0.000000000000
118	0.963636	55	0.000000000000
119	0.959184	49	0.000000000002
120	0.976190	42	0.000000000010
121	0.941176	34	0.000000034692
122	0.966667	30	0.000000028871
123	1.000000	26	0.000000014901
124	1.000000	24	0.000000059605
125	1.000000	18	0.000003814697
126	1.000000	13	0.000122070312
127	1.000000	11	0.000488281250
128	1.000000	5	0.031250000000
129	1.000000	5	0.031250000000
130	1.000000	4	0.062500000000
131	0.666667	3	0.500000000000
132	1.000000	3	0.125000000000
133	1.000000	3	0.125000000000
134	1.000000	3	0.125000000000
135	1.000000	3	0.125000000000
136	1.000000	3	0.125000000000
137	1.000000	2	0.250000000000
138	1.000000	1	0.500000000000
