score	winPercentage	nGames	pVal
1	0.551175	1319	0.000110996238
2	0.550417	1319	0.000137717355
3	0.561789	1319	0.000003985751
4	0.574678	1319	0.000000032146
5	0.576194	1319	0.000000017223
6	0.586808	1319	0.000000000155
7	0.589083	1319	0.000000000052
8	0.604246	1319	0.000000000000
9	0.600455	1319	0.000000000000
10	0.622441	1319	0.000000000000
11	0.613343	1319	0.000000000000
12	0.622441	1319	0.000000000000
13	0.614102	1319	0.000000000000
14	0.633055	1319	0.000000000000
15	0.630023	1319	0.000000000000
16	0.641395	1319	0.000000000000
17	0.636846	1319	0.000000000000
18	0.639121	1319	0.000000000000
19	0.649735	1319	0.000000000000
20	0.637604	1319	0.000000000000
21	0.661107	1319	0.000000000000
22	0.658832	1319	0.000000000000
23	0.670205	1319	0.000000000000
24	0.667172	1319	0.000000000000
25	0.662623	1319	0.000000000000
26	0.669447	1319	0.000000000000
27	0.685368	1319	0.000000000000
28	0.689917	1319	0.000000000000
29	0.689158	1319	0.000000000000
30	0.688400	1319	0.000000000000
31	0.680819	1319	0.000000000000
32	0.693707	1319	0.000000000000
33	0.698256	1319	0.000000000000
34	0.695224	1319	0.000000000000
35	0.685368	1319	0.000000000000
36	0.692949	1319	0.000000000000
37	0.694466	1319	0.000000000000
38	0.703563	1319	0.000000000000
39	0.700531	1319	0.000000000000
40	0.697498	1319	0.000000000000
41	0.702047	1319	0.000000000000
42	0.704321	1319	0.000000000000
43	0.705838	1319	0.000000000000
44	0.702047	1319	0.000000000000
45	0.711903	1319	0.000000000000
46	0.706596	1319	0.000000000000
47	0.715694	1319	0.000000000000
48	0.702805	1319	0.000000000000
49	0.711903	1319	0.000000000000
50	0.719484	1319	0.000000000000
51	0.724033	1319	0.000000000000
52	0.736164	1319	0.000000000000
53	0.737680	1319	0.000000000000
54	0.737680	1319	0.000000000000
55	0.746020	1319	0.000000000000
56	0.753601	1319	0.000000000000
57	0.771797	1319	0.000000000000
58	0.765732	1319	0.000000000000
59	0.769522	1319	0.000000000000
60	0.771039	1319	0.000000000000
61	0.771039	1319	0.000000000000
62	0.771039	1319	0.000000000000
63	0.774071	1319	0.000000000000
64	0.783169	1319	0.000000000000
65	0.778620	1319	0.000000000000
66	0.780136	1319	0.000000000000
67	0.789234	1319	0.000000000000
68	0.789234	1319	0.000000000000
69	0.787718	1319	0.000000000000
70	0.798332	1319	0.000000000000
71	0.808946	1319	0.000000000000
72	0.814253	1319	0.000000000000
73	0.823351	1319	0.000000000000
74	0.818802	1319	0.000000000000
75	0.824867	1319	0.000000000000
76	0.820046	1317	0.000000000000
77	0.820669	1316	0.000000000000
78	0.832067	1316	0.000000000000
79	0.827376	1315	0.000000000000
80	0.835616	1314	0.000000000000
81	0.837139	1314	0.000000000000
82	0.846037	1312	0.000000000000
83	0.850917	1308	0.000000000000
84	0.854294	1304	0.000000000000
85	0.852648	1303	0.000000000000
86	0.867590	1299	0.000000000000
87	0.867647	1292	0.000000000000
88	0.884047	1285	0.000000000000
89	0.885310	1273	0.000000000000
90	0.892772	1259	0.000000000000
91	0.895582	1245	0.000000000000
92	0.903437	1222	0.000000000000
93	0.902581	1201	0.000000000000
94	0.908163	1176	0.000000000000
95	0.909487	1149	0.000000000000
96	0.915921	1118	0.000000000000
97	0.907834	1085	0.000000000000
98	0.909953	1055	0.000000000000
99	0.926254	1017	0.000000000000
100	0.931911	984	0.000000000000
101	0.935518	946	0.000000000000
102	0.933708	890	0.000000000000
103	0.923636	825	0.000000000000
104	0.935815	779	0.000000000000
105	0.930459	719	0.000000000000
106	0.940387	671	0.000000000000
107	0.951104	634	0.000000000000
108	0.945578	588	0.000000000000
109	0.941499	547	0.000000000000
110	0.947686	497	0.000000000000
111	0.944568	451	0.000000000000
112	0.947761	402	0.000000000000
113	0.954155	349	0.000000000000
114	0.944984	309	0.000000000000
115	0.944853	272	0.000000000000
116	0.946939	245	0.000000000000
117	0.932692	208	0.000000000000
118	0.934066	182	0.000000000000
119	0.943396	159	0.000000000000
120	0.937500	144	0.000000000000
121	0.976000	125	0.000000000000
122	0.954955	111	0.000000000000
123	0.946237	93	0.000000000000
124	0.946667	75	0.000000000000
125	0.934426	61	0.000000000000
126	0.942308	52	0.000000000005
127	0.951220	41	0.000000000392
128	1.000000	34	0.000000000058
129	1.000000	31	0.000000000466
130	1.000000	25	0.000000029802
131	1.000000	19	0.000001907349
132	1.000000	17	0.000007629395
133	1.000000	15	0.000030517578
134	1.000000	14	0.000061035156
135	1.000000	10	0.000976562500
136	1.000000	9	0.001953125000
137	1.000000	8	0.003906250000
138	1.000000	5	0.031250000000
139	1.000000	4	0.062500000000
140	1.000000	3	0.125000000000
141	1.000000	3	0.125000000000
142	1.000000	3	0.125000000000
143	1.000000	2	0.250000000000
144	1.000000	1	0.500000000000
145	1.000000	1	0.500000000000
