score	gamesWon
1	690
2	698
3	692
4	703
5	707
6	735
7	719
8	764
9	772
10	775
11	788
12	792
13	791
14	779
15	797
16	791
17	811
18	812
19	815
20	836
21	826
22	833
23	851
24	852
25	849
26	878
27	864
28	883
29	887
30	887
31	896
32	896
33	897
34	889
35	895
36	895
37	889
38	909
39	910
40	912
41	915
42	910
43	909
44	911
45	916
46	915
47	920
48	903
49	904
50	900
51	904
52	916
53	926
54	931
55	927
56	932
57	937
58	928
59	929
60	919
61	930
62	940
63	948
64	943
65	961
66	958
67	968
68	961
69	963
70	976
71	970
72	991
73	998
74	998
75	992
76	1001
77	999
78	1011
79	1015
80	1024
81	1019
82	1023
83	1035
84	1039
85	1055
86	1061
87	1060
88	1064
89	1074
90	1077
91	1086
92	1091
93	1079
94	1095
95	1103
96	1099
97	1115
98	1103
99	1102
100	1107
101	1108
102	1110
103	1094
104	1093
105	1074
106	1077
107	1065
108	1058
109	1030
110	1020
111	992
112	965
113	924
114	883
115	852
116	821
117	758
118	717
119	670
120	617
121	592
122	531
123	483
124	444
125	401
126	369
127	327
128	301
129	258
130	222
131	191
132	176
133	153
134	133
135	111
136	98
137	84
138	70
139	58
140	47
141	39
142	32
143	24
144	18
145	14
146	12
147	11
148	9
149	9
150	8
151	5
152	3
153	3
154	1
155	1
156	1
157	1
167	1
176	1
