score	gamesWon
1	453
2	449
3	451
4	454
5	473
6	461
7	467
8	464
9	464
10	471
11	476
12	481
13	485
14	495
15	500
16	498
17	505
18	492
19	496
20	487
21	491
22	501
23	513
24	511
25	527
26	519
27	540
28	528
29	532
30	529
31	543
32	538
33	535
34	536
35	541
36	547
37	544
38	554
39	556
40	560
41	552
42	563
43	573
44	576
45	585
46	578
47	578
48	586
49	584
50	596
51	586
52	591
53	603
54	613
55	607
56	614
57	606
58	615
59	615
60	613
61	624
62	622
63	633
64	627
65	635
66	635
67	636
68	646
69	633
70	650
71	650
72	662
73	659
74	664
75	667
76	661
77	667
78	662
79	660
80	655
81	650
82	650
83	641
84	633
85	624
86	621
87	591
88	582
89	565
90	543
91	515
92	489
93	463
94	436
95	412
96	382
97	365
98	339
99	321
100	289
101	268
102	235
103	215
104	185
105	168
106	149
107	125
108	109
109	99
110	86
111	71
112	62
113	56
114	45
115	41
116	26
117	20
118	15
119	13
120	8
121	2
122	1
126	1
127	1
128	1
129	1
130	2
131	2
132	1
133	1
