score	gamesWon
1	732
2	739
3	746
4	765
5	754
6	769
7	765
8	776
9	779
10	789
11	804
12	800
13	816
14	818
15	829
16	824
17	851
18	839
19	836
20	851
21	861
22	862
23	868
24	863
25	888
26	882
27	890
28	889
29	886
30	891
31	893
32	902
33	892
34	908
35	897
36	903
37	912
38	926
39	922
40	923
41	947
42	940
43	937
44	939
45	940
46	955
47	950
48	948
49	969
50	969
51	976
52	989
53	1000
54	1001
55	997
56	1000
57	1002
58	1008
59	1002
60	1024
61	1019
62	1034
63	1037
64	1040
65	1048
66	1043
67	1039
68	1045
69	1059
70	1059
71	1061
72	1067
73	1055
74	1068
75	1078
76	1081
77	1091
78	1091
79	1105
80	1103
81	1104
82	1098
83	1096
84	1108
85	1110
86	1118
87	1125
88	1130
89	1128
90	1117
91	1120
92	1106
93	1095
94	1081
95	1060
96	1026
97	1003
98	976
99	929
100	890
101	847
102	799
103	750
104	707
105	656
106	603
107	550
108	503
109	458
110	416
111	361
112	328
113	300
114	269
115	223
116	196
117	179
118	157
119	141
120	120
121	99
122	89
123	76
124	61
125	55
126	49
127	42
128	30
129	22
130	18
131	14
132	9
133	9
134	7
135	7
136	5
137	4
138	3
139	2
140	1
144	1
