score	winPercentage	nGames	pVal
1	0.536012	1319	0.004810253870
2	0.541319	1319	0.001463960072
3	0.566338	1319	0.000000802510
4	0.564822	1319	0.000001385580
5	0.563306	1319	0.000002364001
6	0.575436	1319	0.000000023565
7	0.576194	1319	0.000000017223
8	0.582259	1319	0.000000001257
9	0.587566	1319	0.000000000109
10	0.591357	1319	0.000000000017
11	0.602729	1319	0.000000000000
12	0.603487	1319	0.000000000000
13	0.616376	1319	0.000000000000
14	0.613343	1319	0.000000000000
15	0.613343	1319	0.000000000000
16	0.624716	1319	0.000000000000
17	0.616376	1319	0.000000000000
18	0.633055	1319	0.000000000000
19	0.633813	1319	0.000000000000
20	0.636088	1319	0.000000000000
21	0.636088	1319	0.000000000000
22	0.642153	1319	0.000000000000
23	0.646702	1319	0.000000000000
24	0.642153	1319	0.000000000000
25	0.655042	1319	0.000000000000
26	0.657316	1319	0.000000000000
27	0.666414	1319	0.000000000000
28	0.672479	1319	0.000000000000
29	0.674754	1319	0.000000000000
30	0.680819	1319	0.000000000000
31	0.679303	1319	0.000000000000
32	0.681577	1319	0.000000000000
33	0.683851	1319	0.000000000000
34	0.695224	1319	0.000000000000
35	0.677786	1319	0.000000000000
36	0.683093	1319	0.000000000000
37	0.683851	1319	0.000000000000
38	0.688400	1319	0.000000000000
39	0.689158	1319	0.000000000000
40	0.695982	1319	0.000000000000
41	0.699014	1319	0.000000000000
42	0.708870	1319	0.000000000000
43	0.711903	1319	0.000000000000
44	0.720243	1319	0.000000000000
45	0.711145	1319	0.000000000000
46	0.721759	1319	0.000000000000
47	0.719484	1319	0.000000000000
48	0.717210	1319	0.000000000000
49	0.721001	1319	0.000000000000
50	0.729340	1319	0.000000000000
51	0.724033	1319	0.000000000000
52	0.731615	1319	0.000000000000
53	0.738438	1319	0.000000000000
54	0.742229	1319	0.000000000000
55	0.743745	1319	0.000000000000
56	0.737680	1319	0.000000000000
57	0.749810	1319	0.000000000000
58	0.749810	1319	0.000000000000
59	0.762699	1319	0.000000000000
60	0.758908	1319	0.000000000000
61	0.763457	1319	0.000000000000
62	0.764215	1319	0.000000000000
63	0.772555	1319	0.000000000000
64	0.774829	1319	0.000000000000
65	0.781653	1319	0.000000000000
66	0.788476	1319	0.000000000000
67	0.793025	1319	0.000000000000
68	0.798332	1319	0.000000000000
69	0.801365	1319	0.000000000000
70	0.805914	1319	0.000000000000
71	0.808188	1319	0.000000000000
72	0.811221	1319	0.000000000000
73	0.821077	1319	0.000000000000
74	0.817147	1318	0.000000000000
75	0.826120	1317	0.000000000000
76	0.825095	1315	0.000000000000
77	0.835366	1312	0.000000000000
78	0.838291	1311	0.000000000000
79	0.840336	1309	0.000000000000
80	0.845211	1305	0.000000000000
81	0.850884	1301	0.000000000000
82	0.851310	1298	0.000000000000
83	0.857585	1292	0.000000000000
84	0.858814	1282	0.000000000000
85	0.871350	1267	0.000000000000
86	0.861378	1248	0.000000000000
87	0.878960	1231	0.000000000000
88	0.878788	1221	0.000000000000
89	0.888612	1203	0.000000000000
90	0.886616	1173	0.000000000000
91	0.891821	1137	0.000000000000
92	0.900999	1101	0.000000000000
93	0.902235	1074	0.000000000000
94	0.908829	1042	0.000000000000
95	0.914172	1002	0.000000000000
96	0.908142	958	0.000000000000
97	0.913043	920	0.000000000000
98	0.907003	871	0.000000000000
99	0.925881	823	0.000000000000
100	0.930946	782	0.000000000000
101	0.929059	733	0.000000000000
102	0.934688	689	0.000000000000
103	0.936102	626	0.000000000000
104	0.930435	575	0.000000000000
105	0.951402	535	0.000000000000
106	0.952772	487	0.000000000000
107	0.945330	439	0.000000000000
108	0.952736	402	0.000000000000
109	0.939726	365	0.000000000000
110	0.950617	324	0.000000000000
111	0.951220	287	0.000000000000
112	0.967213	244	0.000000000000
113	0.936652	221	0.000000000000
114	0.930851	188	0.000000000000
115	0.944099	161	0.000000000000
116	0.942029	138	0.000000000000
117	0.950820	122	0.000000000000
118	0.942308	104	0.000000000000
119	0.943820	89	0.000000000000
120	0.934211	76	0.000000000000
121	0.937500	64	0.000000000000
122	0.944444	54	0.000000000001
123	0.906977	43	0.000000015541
124	0.878788	33	0.000005464302
125	0.931034	29	0.000000812113
126	1.000000	22	0.000000238419
127	1.000000	19	0.000001907349
128	1.000000	16	0.000015258789
129	1.000000	13	0.000122070312
130	1.000000	10	0.000976562500
131	1.000000	7	0.007812500000
132	0.714286	7	0.226562500000
133	0.833333	6	0.109375000000
134	0.833333	6	0.109375000000
135	1.000000	6	0.015625000000
136	1.000000	6	0.015625000000
137	1.000000	5	0.031250000000
138	1.000000	4	0.062500000000
139	0.750000	4	0.312500000000
140	0.666667	3	0.500000000000
141	0.000000	1	1.000000000000
142	1.000000	1	0.500000000000
143	1.000000	1	0.500000000000
144	0.000000	1	1.000000000000
145	0.000000	1	1.000000000000
146	0.000000	1	1.000000000000
147	0.000000	1	1.000000000000
148	1.000000	1	0.500000000000
149	1.000000	1	0.500000000000
150	1.000000	1	0.500000000000
151	1.000000	1	0.500000000000
152	1.000000	1	0.500000000000
