score	gamesWon
1	709
2	700
3	695
4	729
5	728
6	753
7	736
8	749
9	771
10	782
11	788
12	786
13	794
14	797
15	809
16	816
17	824
18	814
19	830
20	835
21	844
22	842
23	837
24	841
25	855
26	856
27	866
28	886
29	878
30	887
31	888
32	888
33	886
34	888
35	902
36	884
37	894
38	917
39	913
40	927
41	927
42	912
43	924
44	919
45	925
46	919
47	934
48	927
49	932
50	942
51	946
52	949
53	967
54	957
55	961
56	956
57	976
58	975
59	975
60	972
61	978
62	999
63	989
64	990
65	981
66	991
67	1008
68	999
69	1004
70	1008
71	1008
72	1009
73	1018
74	1010
75	1020
76	1028
77	1033
78	1027
79	1035
80	1042
81	1047
82	1058
83	1074
84	1078
85	1077
86	1090
87	1093
88	1099
89	1107
90	1109
91	1107
92	1110
93	1129
94	1139
95	1143
96	1134
97	1139
98	1128
99	1135
100	1121
101	1111
102	1104
103	1082
104	1059
105	1039
106	1017
107	999
108	967
109	951
110	924
111	883
112	835
113	802
114	756
115	711
116	657
117	614
118	563
119	521
120	481
121	438
122	407
123	375
124	333
125	295
126	265
127	238
128	205
129	184
130	166
131	147
132	130
133	107
134	85
135	73
136	59
137	48
138	45
139	35
140	28
141	22
142	19
143	13
144	14
145	9
146	8
147	6
148	5
149	5
150	4
151	4
152	4
153	3
154	2
155	2
156	2
157	2
158	1
