score	gamesWon
1	712
2	708
3	733
4	748
5	761
6	778
7	761
8	767
9	784
10	778
11	799
12	790
13	810
14	808
15	809
16	803
17	827
18	835
19	848
20	836
21	840
22	833
23	824
24	834
25	842
26	845
27	842
28	838
29	844
30	848
31	856
32	854
33	853
34	870
35	880
36	882
37	878
38	903
39	893
40	907
41	910
42	914
43	915
44	914
45	919
46	912
47	920
48	926
49	936
50	940
51	945
52	955
53	960
54	963
55	955
56	981
57	962
58	982
59	980
60	992
61	1004
62	1004
63	1015
64	1020
65	1022
66	1019
67	1031
68	1034
69	1040
70	1047
71	1042
72	1050
73	1052
74	1054
75	1066
76	1059
77	1062
78	1066
79	1074
80	1081
81	1085
82	1086
83	1084
84	1096
85	1105
86	1095
87	1086
88	1086
89	1080
90	1077
91	1054
92	1042
93	1007
94	981
95	943
96	905
97	875
98	840
99	809
100	775
101	716
102	670
103	630
104	582
105	545
106	501
107	458
108	424
109	385
110	344
111	313
112	284
113	252
114	222
115	196
116	168
117	144
118	128
119	110
120	97
121	82
122	68
123	59
124	51
125	42
126	39
127	28
128	25
129	21
130	17
131	17
132	15
133	12
134	10
135	8
136	7
137	5
138	5
139	4
140	6
141	4
142	5
143	5
144	5
145	3
146	2
147	2
148	2
149	2
150	2
151	2
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
