score	gamesWon
1	453
2	453
3	437
4	447
5	453
6	438
7	469
8	461
9	466
10	492
11	485
12	478
13	486
14	486
15	496
16	502
17	497
18	490
19	504
20	511
21	510
22	517
23	521
24	525
25	535
26	528
27	529
28	545
29	553
30	553
31	561
32	555
33	557
34	553
35	559
36	565
37	566
38	566
39	563
40	569
41	578
42	579
43	582
44	587
45	590
46	580
47	591
48	582
49	586
50	588
51	594
52	588
53	589
54	607
55	606
56	616
57	610
58	606
59	609
60	607
61	617
62	625
63	621
64	623
65	620
66	622
67	628
68	620
69	641
70	628
71	635
72	642
73	648
74	640
75	648
76	655
77	659
78	671
79	665
80	668
81	667
82	670
83	672
84	669
85	674
86	675
87	679
88	680
89	675
90	680
91	685
92	691
93	692
94	700
95	694
96	692
97	695
98	700
99	709
100	705
101	709
102	720
103	702
104	711
105	701
106	693
107	687
108	684
109	660
110	656
111	641
112	628
113	592
114	580
115	557
116	539
117	514
118	495
119	456
120	439
121	419
122	393
123	367
124	349
125	317
126	298
127	268
128	240
129	214
130	186
131	162
132	146
133	126
134	109
135	92
136	82
137	72
138	66
139	58
140	52
141	43
142	38
143	32
144	28
145	22
146	18
147	12
148	9
149	8
150	6
151	6
152	5
153	4
154	3
155	2
156	1
157	1
