score	gamesWon
1	662
2	665
3	701
4	697
5	738
6	736
7	745
8	738
9	770
10	743
11	749
12	777
13	768
14	783
15	785
16	809
17	813
18	816
19	822
20	824
21	820
22	832
23	839
24	846
25	859
26	852
27	859
28	856
29	846
30	867
31	878
32	871
33	872
34	883
35	896
36	888
37	890
38	900
39	895
40	892
41	914
42	909
43	914
44	925
45	914
46	923
47	926
48	931
49	939
50	943
51	949
52	968
53	976
54	974
55	983
56	997
57	978
58	995
59	991
60	990
61	1008
62	1015
63	1032
64	1028
65	1033
66	1031
67	1020
68	1042
69	1046
70	1056
71	1052
72	1059
73	1058
74	1066
75	1071
76	1063
77	1069
78	1071
79	1085
80	1076
81	1082
82	1079
83	1082
84	1070
85	1061
86	1057
87	1051
88	1037
89	1009
90	984
91	965
92	932
93	909
94	871
95	842
96	810
97	760
98	718
99	672
100	617
101	582
102	533
103	495
104	450
105	422
106	381
107	349
108	301
109	262
110	230
111	203
112	172
113	151
114	132
115	113
116	98
117	87
118	73
119	60
120	45
121	37
122	33
123	26
124	25
125	20
126	13
127	8
128	9
129	6
130	6
131	5
132	6
133	4
134	5
135	5
136	4
137	4
138	4
139	3
140	3
141	1
