score	winPercentage	nGames	pVal
1	0.552381	1260	0.000110551088
2	0.544444	1260	0.000877335931
3	0.549206	1260	0.000262501952
4	0.556349	1260	0.000035023633
5	0.559524	1260	0.000013214516
6	0.561111	1260	0.000007968423
7	0.561111	1260	0.000007968423
8	0.588889	1260	0.000000000150
9	0.608730	1260	0.000000000000
10	0.620635	1260	0.000000000000
11	0.630952	1260	0.000000000000
12	0.626984	1260	0.000000000000
13	0.634921	1260	0.000000000000
14	0.623810	1260	0.000000000000
15	0.623810	1260	0.000000000000
16	0.634921	1260	0.000000000000
17	0.632540	1260	0.000000000000
18	0.634921	1260	0.000000000000
19	0.642063	1260	0.000000000000
20	0.643651	1260	0.000000000000
21	0.645238	1260	0.000000000000
22	0.661905	1260	0.000000000000
23	0.660317	1260	0.000000000000
24	0.653968	1260	0.000000000000
25	0.661111	1260	0.000000000000
26	0.663492	1260	0.000000000000
27	0.672222	1260	0.000000000000
28	0.679365	1260	0.000000000000
29	0.675397	1260	0.000000000000
30	0.677778	1260	0.000000000000
31	0.692857	1260	0.000000000000
32	0.687302	1260	0.000000000000
33	0.699206	1260	0.000000000000
34	0.700794	1260	0.000000000000
35	0.696032	1260	0.000000000000
36	0.703968	1260	0.000000000000
37	0.707937	1260	0.000000000000
38	0.719048	1260	0.000000000000
39	0.713492	1260	0.000000000000
40	0.715873	1260	0.000000000000
41	0.711905	1260	0.000000000000
42	0.714286	1260	0.000000000000
43	0.718254	1260	0.000000000000
44	0.722222	1260	0.000000000000
45	0.719048	1260	0.000000000000
46	0.734127	1260	0.000000000000
47	0.725397	1260	0.000000000000
48	0.734127	1260	0.000000000000
49	0.731746	1260	0.000000000000
50	0.733333	1260	0.000000000000
51	0.739683	1260	0.000000000000
52	0.745238	1260	0.000000000000
53	0.745238	1260	0.000000000000
54	0.753175	1260	0.000000000000
55	0.756349	1260	0.000000000000
56	0.761111	1260	0.000000000000
57	0.760317	1260	0.000000000000
58	0.757937	1260	0.000000000000
59	0.762698	1260	0.000000000000
60	0.769841	1260	0.000000000000
61	0.779365	1260	0.000000000000
62	0.774603	1260	0.000000000000
63	0.784921	1260	0.000000000000
64	0.782540	1260	0.000000000000
65	0.792063	1260	0.000000000000
66	0.792857	1260	0.000000000000
67	0.791104	1259	0.000000000000
68	0.799841	1259	0.000000000000
69	0.800635	1259	0.000000000000
70	0.795075	1259	0.000000000000
71	0.812401	1258	0.000000000000
72	0.818760	1258	0.000000000000
73	0.823389	1257	0.000000000000
74	0.828025	1256	0.000000000000
75	0.834395	1256	0.000000000000
76	0.836783	1256	0.000000000000
77	0.835726	1254	0.000000000000
78	0.847444	1252	0.000000000000
79	0.847390	1245	0.000000000000
80	0.857373	1241	0.000000000000
81	0.863047	1234	0.000000000000
82	0.864117	1229	0.000000000000
83	0.865574	1220	0.000000000000
84	0.877585	1209	0.000000000000
85	0.887594	1201	0.000000000000
86	0.891525	1180	0.000000000000
87	0.895099	1163	0.000000000000
88	0.899826	1148	0.000000000000
89	0.906278	1131	0.000000000000
90	0.901654	1088	0.000000000000
91	0.901422	1055	0.000000000000
92	0.919496	1031	0.000000000000
93	0.925963	986	0.000000000000
94	0.922350	953	0.000000000000
95	0.925439	912	0.000000000000
96	0.922722	867	0.000000000000
97	0.938800	817	0.000000000000
98	0.939198	773	0.000000000000
99	0.958217	718	0.000000000000
100	0.956325	664	0.000000000000
101	0.959677	620	0.000000000000
102	0.961336	569	0.000000000000
103	0.958015	524	0.000000000000
104	0.969262	488	0.000000000000
105	0.966292	445	0.000000000000
106	0.969620	395	0.000000000000
107	0.975410	366	0.000000000000
108	0.972222	324	0.000000000000
109	0.976190	294	0.000000000000
110	0.984314	255	0.000000000000
111	0.995575	226	0.000000000000
112	0.979899	199	0.000000000000
113	0.976048	167	0.000000000000
114	1.000000	138	0.000000000000
115	1.000000	116	0.000000000000
116	0.978947	95	0.000000000000
117	0.974026	77	0.000000000000
118	1.000000	61	0.000000000000
119	1.000000	54	0.000000000000
120	1.000000	45	0.000000000000
121	0.970588	34	0.000000002037
122	0.966667	30	0.000000028871
123	0.920000	25	0.000009715557
124	0.954545	22	0.000005483627
125	0.894737	19	0.000364303589
126	1.000000	14	0.000061035156
127	1.000000	12	0.000244140625
128	0.900000	10	0.010742187500
129	1.000000	8	0.003906250000
130	0.833333	6	0.109375000000
131	0.800000	5	0.187500000000
132	1.000000	5	0.031250000000
133	1.000000	3	0.125000000000
134	1.000000	1	0.500000000000
135	0.000000	1	1.000000000000
136	0.000000	1	1.000000000000
137	0.000000	1	1.000000000000
138	0.000000	1	1.000000000000
139	0.000000	1	1.000000000000
140	0.000000	1	1.000000000000
141	1.000000	1	0.500000000000
