score	gamesWon
1	686
2	681
3	703
4	721
5	723
6	740
7	736
8	732
9	758
10	763
11	766
12	787
13	774
14	773
15	778
16	771
17	779
18	790
19	780
20	794
21	793
22	807
23	816
24	805
25	825
26	830
27	832
28	823
29	825
30	829
31	831
32	836
33	855
34	845
35	853
36	857
37	882
38	879
39	875
40	874
41	882
42	882
43	891
44	895
45	891
46	907
47	911
48	924
49	918
50	928
51	935
52	939
53	951
54	954
55	950
56	964
57	964
58	968
59	968
60	980
61	974
62	980
63	986
64	994
65	993
66	1005
67	999
68	1004
69	1020
70	1025
71	1036
72	1035
73	1033
74	1051
75	1063
76	1064
77	1052
78	1065
79	1055
80	1065
81	1067
82	1065
83	1073
84	1066
85	1065
86	1059
87	1053
88	1046
89	1019
90	1022
91	998
92	983
93	960
94	927
95	894
96	861
97	815
98	781
99	745
100	705
101	664
102	626
103	578
104	541
105	499
106	460
107	413
108	380
109	337
110	295
111	252
112	224
113	196
114	170
115	150
116	123
117	111
118	95
119	83
120	80
121	66
122	61
123	47
124	38
125	32
126	25
127	18
128	12
129	10
130	8
131	8
132	6
133	3
134	3
135	2
136	2
