score	gamesWon
1	707
2	714
3	747
4	745
5	743
6	759
7	760
8	768
9	775
10	780
11	795
12	796
13	813
14	809
15	809
16	824
17	813
18	835
19	836
20	839
21	839
22	847
23	853
24	847
25	864
26	867
27	879
28	887
29	890
30	898
31	896
32	899
33	902
34	917
35	894
36	901
37	902
38	908
39	909
40	918
41	922
42	935
43	939
44	950
45	938
46	952
47	949
48	946
49	951
50	962
51	955
52	965
53	974
54	979
55	981
56	973
57	989
58	989
59	1006
60	1001
61	1007
62	1008
63	1019
64	1022
65	1031
66	1040
67	1046
68	1053
69	1057
70	1063
71	1066
72	1070
73	1083
74	1077
75	1088
76	1085
77	1096
78	1099
79	1100
80	1103
81	1107
82	1105
83	1108
84	1101
85	1104
86	1075
87	1082
88	1073
89	1069
90	1040
91	1014
92	992
93	969
94	947
95	916
96	870
97	840
98	790
99	762
100	728
101	681
102	644
103	586
104	535
105	509
106	464
107	415
108	383
109	343
110	308
111	273
112	236
113	207
114	175
115	152
116	130
117	116
118	98
119	84
120	71
121	60
122	51
123	39
124	29
125	27
126	22
127	19
128	16
129	13
130	10
131	7
132	5
133	5
134	5
135	6
136	6
137	5
138	4
139	3
140	2
142	1
143	1
148	1
149	1
150	1
151	1
152	1
