score	gamesWon
1	704
2	702
3	717
4	724
5	720
6	738
7	744
8	748
9	742
10	777
11	771
12	790
13	793
14	799
15	796
16	796
17	804
18	801
19	818
20	824
21	822
22	833
23	845
24	844
25	846
26	839
27	859
28	873
29	852
30	867
31	872
32	881
33	892
34	878
35	873
36	877
37	886
38	892
39	898
40	918
41	901
42	910
43	917
44	917
45	916
46	921
47	926
48	924
49	923
50	933
51	945
52	940
53	950
54	957
55	952
56	963
57	950
58	963
59	957
60	970
61	976
62	977
63	984
64	988
65	993
66	1005
67	1017
68	1014
69	1022
70	1027
71	1035
72	1042
73	1038
74	1047
75	1046
76	1055
77	1063
78	1059
79	1066
80	1069
81	1075
82	1079
83	1090
84	1091
85	1097
86	1107
87	1106
88	1098
89	1106
90	1115
91	1120
92	1125
93	1126
94	1124
95	1132
96	1121
97	1109
98	1120
99	1106
100	1089
101	1094
102	1081
103	1068
104	1042
105	1029
106	1017
107	993
108	958
109	915
110	909
111	882
112	836
113	805
114	754
115	712
116	671
117	611
118	567
119	519
120	488
121	440
122	397
123	358
124	320
125	288
126	256
127	227
128	203
129	176
130	145
131	124
132	100
133	78
134	64
135	63
136	49
137	40
138	39
139	37
140	36
141	28
142	24
143	24
144	20
145	15
146	14
147	11
148	11
149	7
150	1
151	1
152	1
153	1
154	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
