score	gamesWon
1	727
2	734
3	741
4	734
5	721
6	738
7	759
8	749
9	780
10	760
11	780
12	786
13	801
14	801
15	814
16	804
17	806
18	815
19	818
20	824
21	826
22	816
23	829
24	827
25	828
26	836
27	846
28	852
29	853
30	864
31	876
32	866
33	870
34	875
35	893
36	891
37	891
38	883
39	885
40	890
41	893
42	907
43	893
44	893
45	904
46	900
47	890
48	916
49	907
50	923
51	914
52	918
53	924
54	936
55	939
56	949
57	946
58	948
59	959
60	951
61	965
62	960
63	962
64	977
65	973
66	972
67	987
68	991
69	990
70	1003
71	998
72	999
73	1009
74	1007
75	1023
76	1036
77	1046
78	1043
79	1033
80	1047
81	1052
82	1055
83	1067
84	1069
85	1067
86	1057
87	1054
88	1048
89	1047
90	1030
91	1017
92	1004
93	965
94	938
95	919
96	876
97	848
98	833
99	800
100	755
101	714
102	662
103	621
104	558
105	515
106	469
107	431
108	383
109	360
110	313
111	285
112	244
113	210
114	182
115	155
116	139
117	116
118	92
119	78
120	65
121	55
122	48
123	38
124	30
125	27
126	26
127	22
128	19
129	13
130	11
131	6
132	3
133	3
134	3
135	3
136	2
137	1
