score	frequency	year
1	0	2005
2	0	2005
3	0	2005
4	0	2005
5	0	2005
6	0	2005
7	0	2005
8	0	2005
9	0	2005
10	0	2005
11	0	2005
12	0	2005
13	0	2005
14	0	2005
15	0	2005
16	0	2005
17	0	2005
18	0	2005
19	0	2005
20	0	2005
21	0	2005
22	0	2005
23	0	2005
24	0	2005
25	0	2005
26	0	2005
27	0	2005
28	0	2005
29	0	2005
30	0	2005
31	0	2005
32	0	2005
33	0	2005
34	0	2005
35	0	2005
36	0	2005
37	0	2005
38	0	2005
39	0	2005
40	0	2005
41	0	2005
42	0	2005
43	0	2005
44	0	2005
45	0	2005
46	0	2005
47	0	2005
48	0	2005
49	0	2005
50	0	2005
51	0	2005
52	0	2005
53	0	2005
54	0	2005
55	0	2005
56	0	2005
57	0	2005
58	0	2005
59	0	2005
60	0	2005
61	0	2005
62	0	2005
63	0	2005
64	2	2005
65	0	2005
66	0	2005
67	0	2005
68	0	2005
69	0	2005
70	0	2005
71	0	2005
72	1	2005
73	1	2005
74	1	2005
75	1	2005
76	4	2005
77	1	2005
78	2	2005
79	3	2005
80	7	2005
81	5	2005
82	7	2005
83	5	2005
84	12	2005
85	8	2005
86	13	2005
87	10	2005
88	23	2005
89	28	2005
90	33	2005
91	16	2005
92	37	2005
93	33	2005
94	58	2005
95	37	2005
96	37	2005
97	42	2005
98	47	2005
99	49	2005
100	49	2005
101	50	2005
102	49	2005
103	57	2005
104	48	2005
105	45	2005
106	49	2005
107	47	2005
108	46	2005
109	31	2005
110	32	2005
111	37	2005
112	25	2005
113	39	2005
114	31	2005
115	21	2005
116	20	2005
117	21	2005
118	11	2005
119	15	2005
120	5	2005
121	10	2005
122	14	2005
123	7	2005
124	4	2005
125	4	2005
126	3	2005
127	5	2005
128	5	2005
129	3	2005
130	1	2005
131	0	2005
132	1	2005
133	1	2005
134	1	2005
135	0	2005
136	2	2005
137	1	2005
138	0	2005
139	1	2005
