score	gamesWon
1	703
2	700
3	713
4	737
5	745
6	762
7	758
8	764
9	774
10	773
11	774
12	774
13	798
14	776
15	790
16	788
17	808
18	817
19	823
20	828
21	826
22	821
23	836
24	828
25	838
26	833
27	844
28	843
29	843
30	863
31	862
32	870
33	870
34	868
35	873
36	883
37	879
38	901
39	895
40	909
41	911
42	909
43	924
44	934
45	921
46	922
47	926
48	915
49	929
50	923
51	924
52	922
53	926
54	933
55	939
56	943
57	947
58	949
59	961
60	963
61	969
62	974
63	983
64	995
65	980
66	1001
67	1006
68	1013
69	1022
70	1015
71	1016
72	1022
73	1032
74	1050
75	1055
76	1067
77	1065
78	1077
79	1081
80	1092
81	1095
82	1102
83	1100
84	1113
85	1100
86	1112
87	1106
88	1100
89	1102
90	1097
91	1092
92	1099
93	1097
94	1090
95	1090
96	1082
97	1074
98	1060
99	1039
100	1026
101	1002
102	1001
103	958
104	929
105	912
106	858
107	828
108	782
109	758
110	699
111	654
112	626
113	553
114	511
115	469
116	427
117	387
118	347
119	314
120	279
121	248
122	216
123	183
124	151
125	139
126	115
127	104
128	89
129	75
130	59
131	49
132	42
133	34
134	29
135	26
136	21
137	18
138	12
139	11
140	10
141	7
142	6
143	3
144	2
145	1
146	1
147	1
148	1
149	1
