score	gamesWon
1	696
2	686
3	692
4	701
5	705
6	707
7	707
8	742
9	767
10	782
11	795
12	790
13	800
14	786
15	786
16	800
17	797
18	800
19	809
20	811
21	813
22	834
23	832
24	824
25	833
26	836
27	847
28	856
29	851
30	854
31	873
32	866
33	881
34	883
35	877
36	887
37	892
38	906
39	899
40	902
41	897
42	900
43	905
44	910
45	906
46	925
47	914
48	925
49	922
50	924
51	932
52	939
53	939
54	949
55	953
56	959
57	958
58	955
59	961
60	970
61	982
62	976
63	989
64	986
65	998
66	999
67	996
68	1007
69	1008
70	1001
71	1022
72	1030
73	1035
74	1040
75	1048
76	1051
77	1048
78	1061
79	1055
80	1064
81	1065
82	1062
83	1056
84	1061
85	1066
86	1052
87	1041
88	1033
89	1025
90	981
91	951
92	948
93	913
94	879
95	844
96	800
97	767
98	726
99	688
100	635
101	595
102	547
103	502
104	473
105	430
106	383
107	357
108	315
109	287
110	251
111	225
112	195
113	163
114	138
115	116
116	93
117	75
118	61
119	54
120	45
121	33
122	29
123	23
124	21
125	17
126	14
127	12
128	9
129	8
130	5
131	4
132	5
133	3
134	1
141	1
