score	gamesWon
1	702
2	699
3	722
4	715
5	698
6	706
7	743
8	761
9	757
10	759
11	757
12	774
13	769
14	785
15	804
16	799
17	802
18	815
19	815
20	825
21	834
22	840
23	836
24	840
25	868
26	879
27	879
28	879
29	873
30	892
31	879
32	893
33	902
34	904
35	900
36	896
37	909
38	911
39	910
40	926
41	938
42	934
43	941
44	933
45	934
46	940
47	950
48	942
49	960
50	962
51	975
52	975
53	982
54	1000
55	999
56	999
57	990
58	990
59	1009
60	1030
61	1030
62	1047
63	1050
64	1054
65	1057
66	1043
67	1057
68	1056
69	1063
70	1055
71	1082
72	1070
73	1072
74	1094
75	1098
76	1100
77	1101
78	1102
79	1113
80	1120
81	1128
82	1126
83	1124
84	1121
85	1116
86	1128
87	1128
88	1113
89	1104
90	1084
91	1065
92	1050
93	1023
94	985
95	976
96	940
97	899
98	859
99	833
100	778
101	738
102	703
103	665
104	609
105	550
106	487
107	448
108	404
109	359
110	322
111	292
112	267
113	243
114	205
115	178
116	156
117	137
118	113
119	98
120	78
121	67
122	57
123	48
124	43
125	39
126	29
127	23
128	20
129	18
130	14
131	14
132	9
133	7
134	7
135	6
136	6
137	4
138	4
139	4
140	4
141	2
142	1
