score	winPercentage	nGames	pVal
1	0.555556	1314	0.000031151062
2	0.554033	1314	0.000049455484
3	0.556317	1314	0.000024614327
4	0.566971	1314	0.000000667153
5	0.571537	1314	0.000000118823
6	0.571537	1314	0.000000118823
7	0.578387	1314	0.000000007286
8	0.582192	1314	0.000000001389
9	0.596651	1314	0.000000000001
10	0.598174	1314	0.000000000001
11	0.602740	1314	0.000000000000
12	0.601979	1314	0.000000000000
13	0.598174	1314	0.000000000001
14	0.609589	1314	0.000000000000
15	0.617960	1314	0.000000000000
16	0.626332	1314	0.000000000000
17	0.625571	1314	0.000000000000
18	0.630137	1314	0.000000000000
19	0.627093	1314	0.000000000000
20	0.635464	1314	0.000000000000
21	0.624049	1314	0.000000000000
22	0.620244	1314	0.000000000000
23	0.631659	1314	0.000000000000
24	0.654490	1314	0.000000000000
25	0.652968	1314	0.000000000000
26	0.664384	1314	0.000000000000
27	0.659056	1314	0.000000000000
28	0.669711	1314	0.000000000000
29	0.667428	1314	0.000000000000
30	0.670472	1314	0.000000000000
31	0.675038	1314	0.000000000000
32	0.670472	1314	0.000000000000
33	0.672755	1314	0.000000000000
34	0.685693	1314	0.000000000000
35	0.679604	1314	0.000000000000
36	0.686454	1314	0.000000000000
37	0.686454	1314	0.000000000000
38	0.690259	1314	0.000000000000
39	0.691781	1314	0.000000000000
40	0.694064	1314	0.000000000000
41	0.701674	1314	0.000000000000
42	0.701674	1314	0.000000000000
43	0.719178	1314	0.000000000000
44	0.710046	1314	0.000000000000
45	0.727549	1314	0.000000000000
46	0.729072	1314	0.000000000000
47	0.742009	1314	0.000000000000
48	0.735921	1314	0.000000000000
49	0.742009	1314	0.000000000000
50	0.737443	1314	0.000000000000
51	0.738204	1314	0.000000000000
52	0.745814	1314	0.000000000000
53	0.748858	1314	0.000000000000
54	0.742770	1314	0.000000000000
55	0.756469	1314	0.000000000000
56	0.748097	1314	0.000000000000
57	0.751903	1314	0.000000000000
58	0.764840	1314	0.000000000000
59	0.754947	1314	0.000000000000
60	0.768645	1314	0.000000000000
61	0.771689	1314	0.000000000000
62	0.773212	1314	0.000000000000
63	0.774734	1314	0.000000000000
64	0.778539	1314	0.000000000000
65	0.773628	1312	0.000000000000
66	0.772866	1312	0.000000000000
67	0.774390	1312	0.000000000000
68	0.788110	1312	0.000000000000
69	0.779726	1312	0.000000000000
70	0.785061	1312	0.000000000000
71	0.789634	1312	0.000000000000
72	0.788110	1312	0.000000000000
73	0.788711	1311	0.000000000000
74	0.794656	1310	0.000000000000
75	0.795264	1309	0.000000000000
76	0.805810	1308	0.000000000000
77	0.804448	1304	0.000000000000
78	0.818880	1303	0.000000000000
79	0.817064	1301	0.000000000000
80	0.831279	1298	0.000000000000
81	0.835012	1291	0.000000000000
82	0.842924	1286	0.000000000000
83	0.842846	1279	0.000000000000
84	0.852433	1274	0.000000000000
85	0.862916	1262	0.000000000000
86	0.865231	1254	0.000000000000
87	0.870266	1241	0.000000000000
88	0.871649	1231	0.000000000000
89	0.884106	1208	0.000000000000
90	0.877966	1180	0.000000000000
91	0.888405	1147	0.000000000000
92	0.891247	1131	0.000000000000
93	0.887569	1094	0.000000000000
94	0.901037	1061	0.000000000000
95	0.897308	1003	0.000000000000
96	0.907867	966	0.000000000000
97	0.910657	929	0.000000000000
98	0.928974	887	0.000000000000
99	0.929762	840	0.000000000000
100	0.929204	791	0.000000000000
101	0.921833	742	0.000000000000
102	0.920520	692	0.000000000000
103	0.925350	643	0.000000000000
104	0.930034	586	0.000000000000
105	0.936803	538	0.000000000000
106	0.945233	493	0.000000000000
107	0.923423	444	0.000000000000
108	0.931990	397	0.000000000000
109	0.934473	351	0.000000000000
110	0.937500	320	0.000000000000
111	0.930556	288	0.000000000000
112	0.936255	251	0.000000000000
113	0.942478	226	0.000000000000
114	0.941176	187	0.000000000000
115	0.942308	156	0.000000000000
116	0.948148	135	0.000000000000
117	0.965217	115	0.000000000000
118	0.946809	94	0.000000000000
119	0.951807	83	0.000000000000
120	0.970588	68	0.000000000000
121	0.952381	63	0.000000000000
122	0.924528	53	0.000000000035
123	0.897436	39	0.000000167658
124	0.937500	32	0.000000123167
125	0.964286	28	0.000000108033
126	1.000000	24	0.000000059605
127	1.000000	21	0.000000476837
128	1.000000	16	0.000015258789
129	1.000000	11	0.000488281250
130	1.000000	8	0.003906250000
131	0.857143	7	0.062500000000
132	0.857143	7	0.062500000000
133	1.000000	6	0.015625000000
134	1.000000	5	0.031250000000
135	1.000000	4	0.062500000000
136	1.000000	4	0.062500000000
137	1.000000	2	0.250000000000
138	1.000000	1	0.500000000000
139	1.000000	1	0.500000000000
